ISO Date,Year,Month,District,Number of Collisions,Location,Coordinates,Lat,Lon,Address,Comments
2022-02,2022,2,1011,1,Pacific Coast Hwy & Broad Beach Rd,"34.0389905,-118.8686357",34.0389905,-118.8686357,"Pacific Coast Hwy & Broad Beach Rd, Malibu, CA 90265, USA",
2023-06,2023,6,1017,1,Pacific Coast Hwy & Tuna Canyon Rd,"34.0394634,-118.589523",34.0394634,-118.589523,"Tuna Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-01,2021,1,1018,2,Pacific Coast Hwy & Tuna Canyon Rd,"34.0394634,-118.589523",34.0394634,-118.589523,"Tuna Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-08,2021,8,1018,2,Pacific Coast Hwy & Tuna Canyon Rd,"34.0394634,-118.589523",34.0394634,-118.589523,"Tuna Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-02,2022,2,1018,1,Pacific Coast Hwy & Tuna Canyon Rd,"34.0394634,-118.589523",34.0394634,-118.589523,"Tuna Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-02,2023,2,1018,2,Pacific Coast Hwy & Tuna Canyon Rd,"34.0394634,-118.589523",34.0394634,-118.589523,"Tuna Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",Manual add
2021-06,2021,6,1018,1,Pacific Coast Hwy & Pena Rd,"34.0395711,-118.5971281",34.0395711,-118.5971281,"Pena Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-09,2023,9,1016,1,Pacific Coast Hwy & Topanga Beach Rd,"34.0400536,-118.5800583",34.0400536,-118.5800583,"Topanga Beach Dr & Pacific Coast Hwy, Topanga, CA 90265, USA",
2022-04,2022,4,1018,1,Pacific Coast Hwy & Topanga Beach Rd,"34.0400536,-118.5800583",34.0400536,-118.5800583,"Topanga Beach Dr & Pacific Coast Hwy, Topanga, CA 90265, USA",
2021-07,2021,7,1029,1,Pacific Coast Hwy & Topanga Canyon Blvd,"34.0400673,-118.5792727",34.0400673,-118.5792727,"CA-27 & Pacific Coast Hwy, Topanga, CA 90265, USA",
2021-07,2021,7,1010,1,Pacific Coast Hwy & Encinal Canyon Rd,"34.0403534,-118.8852882",34.0403534,-118.8852882,"Encinal Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-11,2021,11,1010,2,Pacific Coast Hwy & Encinal Canyon Rd,"34.0403534,-118.8852882",34.0403534,-118.8852882,"Encinal Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-07,2022,7,1010,2,Pacific Coast Hwy & Encinal Canyon Rd,"34.0403534,-118.8852882",34.0403534,-118.8852882,"Encinal Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2023-04,2023,4,1010,2,Pacific Coast Hwy & Encinal Canyon Rd,"34.0403534,-118.8852882",34.0403534,-118.8852882,"Encinal Canyon Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2022-08,2022,8,1080,1,Pacific Coast Hwy & El Pescador Beach Rd,"34.0410546,-118.8913392",34.0410546,-118.8913392,"El Pescador Beach Rd & Pacific Coast Hwy, Malibu, CA 90265, USA",
2021-04,2021,4,1010,1,Pacific Coast Hwy & Decker Canyon Rd,"34.0414609,-118.894382",34.0414609,-118.894382,"Pacific Coast Hwy & Decker Rd, Malibu, CA 90265, USA",
2023-04,2023,4,1010,1,Pacific Coast Hwy & Decker Canyon Rd,"34.0414609,-118.894382",34.0414609,-118.894382,"Pacific Coast Hwy & Decker Rd, Malibu, CA 90265, USA",
2023-06,2023,6,1010,1,Pacific Coast Hwy & Decker Canyon Rd,"34.0414609,-118.894382",34.0414609,-118.894382,"Pacific Coast Hwy & Decker Rd, Malibu, CA 90265, USA",Manual fix
2022-09,2022,9,1029,1,Pacific Coast Hwy & Coastline Dr,"34.0418872,-118.5676704",34.0418872,-118.5676704,"Coastline Dr & Pacific Coast Hwy, Topanga, CA 90265, USA",
2023-06,2023,6,1015,1,Pacific Coast Hwy & Carbon Beach Terrace,"34.0420674,-118.6613989",34.0420674,-118.6613989,"Carbon Beach Terrace, Malibu, CA 90265, USA",
2022-01,2022,1,1016,1,Pacific Coast Hwy & Carbon Beach Terrace,"34.0420674,-118.6613989",34.0420674,-118.6613989,"Carbon Beach Terrace, Malibu, CA 90265, USA",
